

[Continue Epoch 3 | Step 200] Loss: 1.0925
[Continue Epoch 3 | Step 250] Loss: 0.9974
[Continue Epoch 3 | Step 300] Loss: 1.0899
[Continue Epoch 3 | Step 350] Loss: 1.0541
[Continue Epoch 3 | Step 400] Loss: 1.0894
[Continue Epoch 3 | Step 450] Loss: 0.9155
[Continue Epoch 3 | Step 500] Loss: 1.0086
[Continue Epoch 3 | Step 550] Loss: 1.1148
[Continue Epoch 3 | Step 600] Loss: 1.0692
[Continue Epoch 3 | Step 650] Loss: 1.0461
[Continue Epoch 3 | Step 700] Loss: 1.1310
[Continue Epoch 3 | Step 750] Loss: 1.0729
[Continue Epoch 3 | Step 800] Loss: 1.0977
[Continue Epoch 3 | Step 850] Loss: 1.0660
[Continue Epoch 3 | Step 900] Loss: 1.0681
[Continue Epoch 3 | Step 950] Loss: 0.9416
[Continue Epoch 3 | Step 1000] Loss: 1.0966
[Continue Epoch 3 | Step 1050] Loss: 1.0390
[Continue Epoch 3 | Step 1100] Loss: 1.0553
[Continue Epoch 3 | Step 1150] Loss: 1.0496
[Continue Epoch 3 | Step 1200] Loss: 1.1532
[Continue Epoch 3 | Step 1250] Loss: 1.0938
[Continue Epoch 3 | Step 1300] Loss: 0.9913
[Continue Epoch 3 | Step 1350] Loss: 1.0105
[Continue Epoch 3 | Step 1400] Loss: 0.9193
[Continue Epoch 3 | Step 1450] Loss: 1.0210
[Continue Epoch 3 | Step 1500] Loss: 1.0263
[Continue Epoch 3 | Step 1550] Loss: 1.0536
[Continue Epoch 3 | Step 1600] Loss: 1.1359
[Continue Epoch 3 | Step 1650] Loss: 1.0232
[Continue Epoch 3 | Step 1700] Loss: 1.0390
[Continue Epoch 3 | Step 1750] Loss: 1.0757
[Continue Epoch 3 | Step 1800] Loss: 1.1592
[Continue Epoch 3 | Step 1850] Loss: 1.0290
[Continue Epoch 3 | Step 1900] Loss: 0.9638
[Continue Epoch 3 | Step 1950] Loss: 0.9555
[Continue Epoch 3 | Step 2000] Loss: 1.0095
[Continue Epoch 3 | Step 2050] Loss: 0.9563
[Continue Epoch 3 | Step 2100] Loss: 1.2223
[Continue Epoch 3 | Step 2150] Loss: 1.1021
[Continue Epoch 3 | Step 2200] Loss: 1.1481
[Continue Epoch 3 | Step 2250] Loss: 1.0518
[Continue Epoch 3 | Step 2300] Loss: 1.0030
[Continue Epoch 3 | Step 2350] Loss: 0.8722
[Continue Epoch 3 | Step 2400] Loss: 0.9440
[Continue Epoch 3 | Step 2450] Loss: 0.9546
[Continue Epoch 3 | Step 2500] Loss: 0.9797
[Continue Epoch 3 | Step 2550] Loss: 0.9294
[Continue Epoch 3 | Step 2600] Loss: 1.1402
[Continue Epoch 3 | Step 2650] Loss: 1.0984
[Continue Epoch 3 | Step 2700] Loss: 1.1612
[Continue Epoch 3 | Step 2750] Loss: 1.0834
[Continue Epoch 3 | Step 2800] Loss: 1.0410
[Continue Epoch 3 | Step 2850] Loss: 1.0180
[Continue Epoch 3 | Step 2900] Loss: 1.0036
[Continue Epoch 3 | Step 2950] Loss: 1.0245
[Continue Epoch 3 | Step 3000] Loss: 1.0500
[Continue Epoch 3 | Step 3050] Loss: 1.1642
[Continue Epoch 3 | Step 3100] Loss: 1.1247
[Continue Epoch 3 | Step 3150] Loss: 1.0436
[Continue Epoch 3 | Step 3200] Loss: 1.0350
[Continue Epoch 3 | Step 3250] Loss: 0.8205
[Continue Epoch 3 | Step 3300] Loss: 1.0328
[Continue Epoch 3 | Step 3350] Loss: 1.0855
[Continue Epoch 3 | Step 3400] Loss: 0.9180
[Continue Epoch 3 | Step 3450] Loss: 1.0557
[Continue Epoch 3 | Step 3500] Loss: 0.9248
[Continue Epoch 3 | Step 3550] Loss: 0.9840
[Continue Epoch 3 | Step 3600] Loss: 1.0831
[Continue Epoch 3 | Step 3650] Loss: 0.9281
[Continue Epoch 3 | Step 3700] Loss: 0.9717
[Continue Epoch 3 | Step 3750] Loss: 1.0710
[Continue Epoch 3 | Step 3800] Loss: 1.0752
[Continue Epoch 3 | Step 3850] Loss: 0.8661
[Continue Epoch 3 | Step 3900] Loss: 1.1316
[Continue Epoch 3 | Step 3950] Loss: 0.8547
[Continue Epoch 3 | Step 4000] Loss: 0.9637
[Continue Epoch 3 | Step 4050] Loss: 1.0954
[Continue Epoch 3 | Step 4100] Loss: 1.1089
[Continue Epoch 3 | Step 4150] Loss: 0.9576
[Continue Epoch 3 | Step 4200] Loss: 1.1540
[Continue Epoch 3 | Step 4250] Loss: 0.9818
[Continue Epoch 3 | Step 4300] Loss: 0.9987
[Continue Epoch 3 | Step 4350] Loss: 1.1516
[Continue Epoch 3 | Step 4400] Loss: 1.2755
[Continue Epoch 3 | Step 4450] Loss: 1.0176
[Continue Epoch 3 | Step 4500] Loss: 1.0864
[Continue Epoch 3 | Step 4550] Loss: 0.8918
[Continue Epoch 3 | Step 4600] Loss: 1.2220
[Continue Epoch 3 | Step 4650] Loss: 0.9867
[Continue Epoch 3 | Step 4700] Loss: 0.9083
[Continue Epoch 3 | Step 4750] Loss: 1.1095
[Continue Epoch 3 | Step 4800] Loss: 1.1314
[Continue Epoch 3 | Step 4850] Loss: 1.1791
[Continue Epoch 3 | Step 4900] Loss: 1.1622
[Continue Epoch 3 | Step 4950] Loss: 1.0730

Continue Epoch 3 Completed | Avg Loss: 1.0310
Best model updated
[Continue Epoch 4 | Step 0] Loss: 1.1638
[Continue Epoch 4 | Step 50] Loss: 1.1585
[Continue Epoch 4 | Step 100] Loss: 1.1350
[Continue Epoch 4 | Step 150] Loss: 1.1777
[Continue Epoch 4 | Step 200] Loss: 0.9747
[Continue Epoch 4 | Step 250] Loss: 0.9849
[Continue Epoch 4 | Step 300] Loss: 1.0623
[Continue Epoch 4 | Step 350] Loss: 1.0599
[Continue Epoch 4 | Step 400] Loss: 0.9818
[Continue Epoch 4 | Step 450] Loss: 1.0452
[Continue Epoch 4 | Step 500] Loss: 1.0901
[Continue Epoch 4 | Step 550] Loss: 0.9833
[Continue Epoch 4 | Step 600] Loss: 1.0054
[Continue Epoch 4 | Step 650] Loss: 0.9825
[Continue Epoch 4 | Step 700] Loss: 1.1432
[Continue Epoch 4 | Step 750] Loss: 1.0200
[Continue Epoch 4 | Step 800] Loss: 0.8814
[Continue Epoch 4 | Step 850] Loss: 0.9961
