[Epoch 5 | Step 4050] Loss: 0.9704
[Epoch 5 | Step 4100] Loss: 0.9042
[Epoch 5 | Step 4150] Loss: 0.8802
[Epoch 5 | Step 4200] Loss: 0.9672
[Epoch 5 | Step 4250] Loss: 0.8090
[Epoch 5 | Step 4300] Loss: 0.9022
[Epoch 5 | Step 4350] Loss: 0.8744
[Epoch 5 | Step 4400] Loss: 0.9074
[Epoch 5 | Step 4450] Loss: 0.9152
[Epoch 5 | Step 4500] Loss: 0.8873
[Epoch 5 | Step 4550] Loss: 0.8992
[Epoch 5 | Step 4600] Loss: 0.9400
[Epoch 5 | Step 4650] Loss: 0.9751
[Epoch 5 | Step 4700] Loss: 0.8515
[Epoch 5 | Step 4750] Loss: 0.8929
[Epoch 5 | Step 4800] Loss: 0.9852
[Epoch 5 | Step 4850] Loss: 1.0290
[Epoch 5 | Step 4900] Loss: 0.8307
[Epoch 5 | Step 4950] Loss: 0.8990

Epoch 5 Completed | Avg Loss: 0.9252
Best model updated
